row_id,column,issue_type
2506,order_id,duplicate_row
2507,order_id,duplicate_row
2508,order_id,duplicate_row
2509,order_id,duplicate_row
2510,order_id,duplicate_row
2511,order_id,duplicate_row
2512,order_id,duplicate_row
2513,order_id,duplicate_row
2514,order_id,duplicate_row
2515,order_id,duplicate_row
2516,order_id,duplicate_row
2517,order_id,duplicate_row
2518,order_id,duplicate_row
2519,order_id,duplicate_row
2520,order_id,duplicate_row
2521,order_id,duplicate_row
2522,order_id,duplicate_row
2523,order_id,duplicate_row
2524,order_id,duplicate_row
2525,order_id,duplicate_row
2526,order_id,duplicate_row
2527,order_id,duplicate_row
2528,order_id,duplicate_row
2529,order_id,duplicate_row
2530,order_id,duplicate_row
2531,order_id,duplicate_row
2532,order_id,duplicate_row
2533,order_id,duplicate_row
2534,order_id,duplicate_row
2535,order_id,duplicate_row
2536,order_id,duplicate_row
2537,order_id,duplicate_row
2538,order_id,duplicate_row
2539,order_id,duplicate_row
2540,order_id,duplicate_row
2541,order_id,duplicate_row
2542,order_id,duplicate_row
2543,order_id,duplicate_row
2544,order_id,duplicate_row
2545,order_id,duplicate_row
2546,order_id,duplicate_row
2547,order_id,duplicate_row
2548,order_id,duplicate_row
2549,order_id,duplicate_row
2550,order_id,duplicate_row
2551,order_id,duplicate_row
2552,order_id,duplicate_row
2553,order_id,duplicate_row
2554,order_id,duplicate_row
2555,order_id,duplicate_row
2556,order_id,duplicate_row
2557,order_id,duplicate_row
2558,order_id,duplicate_row
2559,order_id,duplicate_row
2560,order_id,duplicate_row
2561,order_id,duplicate_row
2562,order_id,duplicate_row
2563,order_id,duplicate_row
2564,order_id,duplicate_row
2565,order_id,duplicate_row
2566,order_id,duplicate_row
2567,order_id,duplicate_row
2568,order_id,duplicate_row
2569,order_id,duplicate_row
